transformer_id,timestamp,voltage_kv,current_a,oil_temperature_c,winding_temperature_c,oil_level_pct,vibration_mm_s,load_percentage,ambient_temperature_c,humidity_pct,dissolved_gas_ppm
TR-001,2026-09-15T21:00:00,133.5,328.95,71.87,87.25,87.43,1.86,73.2,27.1,59.78,49.44
TR-001,2026-09-15T22:00:00,132.42,348.81,71.68,86.78,87.34,1.95,77.42,27.41,59.33,52.34
TR-001,2026-09-15T23:00:00,130.34,310.96,68.69,82.28,87.7,1.66,68.89,26.53,63.27,51.23
TR-001,2026-09-16T00:00:00,132.44,290.57,66.08,80.23,87.02,1.67,64.52,23.97,67.58,50.2
TR-001,2026-09-16T01:00:00,133.33,288.72,67.57,82.22,86.82,1.61,65.11,23.21,66.28,52.98
TR-001,2026-09-16T02:00:00,134.0,318.42,69.22,83.94,87.33,1.93,71.05,22.97,68.97,49.53
TR-001,2026-09-16T03:00:00,130.94,325.41,69.34,83.2,86.8,1.79,71.95,25.98,62.16,52.17
TR-001,2026-09-16T04:00:00,130.43,327.91,69.73,84.91,87.51,1.64,72.57,24.63,65.1,51.11
TR-001,2026-09-16T05:00:00,133.43,308.63,69.0,83.23,87.06,1.57,68.28,25.29,62.02,53.78
TR-001,2026-09-16T06:00:00,132.24,349.4,71.48,85.8,86.91,1.96,76.9,26.91,63.91,53.94
TR-001,2026-09-16T07:00:00,130.47,349.71,72.91,88.57,86.98,1.87,78.27,26.14,61.22,54.47
TR-001,2026-09-16T08:00:00,134.51,360.5,73.0,88.53,86.87,1.99,79.42,29.14,60.6,54.46
TR-001,2026-09-16T09:00:00,130.77,364.67,74.38,90.19,86.73,1.96,80.4,27.49,61.03,52.47
TR-001,2026-09-16T10:00:00,130.56,362.89,74.12,90.06,87.45,1.78,81.7,28.41,60.73,53.1
TR-001,2026-09-16T11:00:00,132.19,385.09,76.59,91.69,87.41,1.8,84.6,28.85,56.88,53.49
TR-001,2026-09-16T12:00:00,131.02,379.06,75.95,91.63,86.67,1.95,84.0,30.7,53.46,55.7
TR-001,2026-09-16T13:00:00,133.16,379.92,76.33,91.19,87.05,1.82,83.89,31.85,53.61,55.64
TR-001,2026-09-16T14:00:00,130.95,388.51,77.36,92.84,86.49,1.88,86.76,31.73,57.55,55.21
TR-001,2026-09-16T15:00:00,132.61,388.65,76.48,91.95,86.76,1.93,86.81,31.48,56.21,54.61
TR-001,2026-09-16T16:00:00,130.49,367.38,76.44,91.26,86.38,1.87,81.7,31.87,55.49,54.34
TR-001,2026-09-16T17:00:00,133.33,376.58,74.72,89.46,86.51,1.87,83.3,29.17,60.84,53.54
TR-001,2026-09-16T18:00:00,132.69,350.87,73.98,88.65,86.9,1.66,78.65,29.92,59.13,56.58
TR-001,2026-09-16T19:00:00,131.6,333.22,72.72,86.73,86.46,1.92,74.77,30.04,57.18,56.96
TR-001,2026-09-16T20:00:00,134.58,351.23,74.27,89.46,86.9,1.83,77.84,29.35,60.46,56.19
TR-001,2026-09-16T21:00:00,133.29,351.92,72.03,87.29,86.92,1.84,78.26,26.61,63.35,55.35
TR-001,2026-09-16T22:00:00,130.87,314.02,69.63,83.38,86.35,1.83,70.29,26.13,64.54,54.76
TR-001,2026-09-16T23:00:00,132.22,320.95,69.42,84.5,86.67,1.84,71.51,25.12,66.96,57.81
TR-001,2026-09-17T00:00:00,129.39,287.46,67.05,81.55,86.48,1.79,64.21,23.43,67.63,57.41
TR-001,2026-09-17T01:00:00,130.52,288.93,65.46,79.54,86.43,1.59,64.35,21.92,69.42,55.76
TR-001,2026-09-17T02:00:00,129.5,309.35,67.37,81.81,86.14,1.73,68.98,24.19,63.52,57.02
TR-001,2026-09-17T03:00:00,131.09,304.61,68.21,82.78,86.22,1.58,67.11,24.3,63.17,57.91
TR-001,2026-09-17T04:00:00,131.21,338.24,71.47,86.61,86.89,1.69,74.83,26.18,60.35,56.61
TR-001,2026-09-17T05:00:00,132.89,312.31,69.2,83.86,86.08,1.79,69.26,25.15,66.26,56.71
TR-001,2026-09-17T06:00:00,134.45,339.07,70.9,86.04,86.84,1.77,76.22,25.24,65.93,56.8
TR-001,2026-09-17T07:00:00,132.67,340.76,73.27,88.33,85.97,1.98,76.61,28.15,61.97,58.14
TR-001,2026-09-17T08:00:00,131.32,341.74,72.78,88.13,85.93,1.97,75.93,27.52,62.03,60.31
TR-001,2026-09-17T09:00:00,131.66,360.45,73.92,89.58,86.33,1.84,79.58,30.06,57.02,60.17
TR-001,2026-09-17T10:00:00,133.86,351.97,73.62,88.18,86.22,1.86,77.48,28.09,59.64,57.61
TR-001,2026-09-17T11:00:00,130.32,373.14,75.78,91.91,86.43,1.8,83.56,30.89,53.23,61.54
TR-001,2026-09-17T12:00:00,133.16,354.71,75.05,90.38,86.19,1.94,78.85,31.44,52.9,58.89
TR-001,2026-09-17T13:00:00,130.98,383.86,76.85,92.39,86.42,1.83,85.12,31.25,56.84,59.33
TR-001,2026-09-17T14:00:00,130.0,370.47,75.97,91.86,85.83,1.77,83.01,30.86,56.12,61.4
TR-001,2026-09-17T15:00:00,132.13,391.13,76.53,91.96,85.79,1.74,87.4,30.13,57.51,59.85
TR-001,2026-09-17T16:00:00,132.28,388.79,77.14,92.86,86.45,1.92,85.96,29.55,57.99,60.76
TR-001,2026-09-17T17:00:00,129.63,356.4,74.49,89.37,85.62,1.87,78.22,29.93,54.93,59.85
TR-001,2026-09-17T18:00:00,130.96,364.22,74.25,89.61,86.31,1.75,79.84,28.19,60.35,61.3
TR-001,2026-09-17T19:00:00,133.9,353.47,73.09,88.24,86.23,1.98,77.46,28.08,58.63,60.59
TR-001,2026-09-17T20:00:00,130.19,346.75,71.42,86.34,86.05,1.75,77.78,26.73,60.79,62.83
TR-001,2026-09-17T21:00:00,131.76,347.07,73.37,88.47,86.09,1.97,76.71,28.61,59.14,62.43
TR-001,2026-09-17T22:00:00,134.16,340.09,70.18,84.61,86.15,1.82,74.85,25.38,63.16,61.0
TR-001,2026-09-17T23:00:00,133.05,336.35,70.7,84.67,85.41,1.77,73.76,26.0,62.43,61.75
TR-001,2026-09-18T00:00:00,134.44,281.91,66.22,80.59,86.01,1.6,61.9,22.89,65.41,64.03
TR-001,2026-09-18T01:00:00,132.8,302.74,66.85,81.04,85.8,1.58,66.35,22.38,68.02,62.58
TR-001,2026-09-18T02:00:00,133.89,310.42,68.18,83.13,86.09,1.77,69.36,24.58,65.36,62.76
TR-001,2026-09-18T03:00:00,134.48,305.04,69.16,83.53,85.79,1.71,68.0,24.71,63.56,63.2
TR-001,2026-09-18T04:00:00,132.66,330.56,69.88,85.12,85.66,1.85,72.88,24.44,63.57,65.89
TR-001,2026-09-18T05:00:00,130.62,325.62,70.66,84.59,86.18,1.93,73.12,26.15,63.04,62.72
TR-001,2026-09-18T06:00:00,131.99,345.61,71.43,86.83,86.14,1.72,76.32,26.69,62.77,64.03
TR-001,2026-09-18T07:00:00,132.04,356.86,72.89,88.42,85.54,1.98,78.46,28.43,59.9,66.03
TR-001,2026-09-18T08:00:00,130.94,337.29,72.45,86.62,85.64,1.74,74.76,29.5,58.56,65.17
TR-001,2026-09-18T09:00:00,131.06,345.91,73.49,88.04,85.85,1.66,77.56,29.26,60.08,66.07
TR-001,2026-09-18T10:00:00,131.4,369.83,76.22,91.58,85.08,1.86,81.82,30.3,57.59,66.98
TR-001,2026-09-18T11:00:00,131.68,377.09,76.2,91.59,85.66,1.76,83.74,29.87,57.51,67.63
TR-001,2026-09-18T12:00:00,133.02,365.46,76.2,92.05,85.36,1.79,80.88,31.72,56.23,67.04
TR-001,2026-09-18T13:00:00,129.55,385.2,78.33,94.92,85.7,1.88,86.56,31.73,52.5,66.78
TR-001,2026-09-18T14:00:00,131.7,397.85,77.67,94.06,85.21,1.87,87.98,33.21,50.56,66.62
TR-001,2026-09-18T15:00:00,133.54,375.19,76.71,92.47,85.13,2.03,84.11,30.07,55.25,66.59
TR-001,2026-09-18T16:00:00,130.71,355.99,76.0,91.5,85.02,1.83,80.2,31.58,54.2,67.35
TR-001,2026-09-18T17:00:00,131.6,365.87,74.97,90.15,85.31,1.77,81.86,31.04,56.37,67.55
TR-001,2026-09-18T18:00:00,130.92,379.49,75.12,90.72,85.49,1.96,83.27,29.81,55.08,67.93
TR-001,2026-09-18T19:00:00,134.13,348.37,73.8,88.57,85.41,1.87,77.89,29.56,59.23,68.63
TR-001,2026-09-18T20:00:00,133.79,351.25,73.7,88.39,85.18,1.85,77.77,29.21,60.08,66.36
TR-001,2026-09-18T21:00:00,133.31,327.24,70.77,86.13,85.24,1.93,73.44,26.23,65.14,67.28
TR-001,2026-09-18T22:00:00,131.9,346.23,71.83,86.08,85.64,1.69,76.26,27.41,64.18,69.94
TR-001,2026-09-18T23:00:00,134.53,337.85,70.91,86.04,84.66,1.8,74.04,26.91,61.86,69.44
TR-001,2026-09-19T00:00:00,132.45,302.7,66.61,80.17,84.65,1.86,66.55,23.99,66.88,70.66
TR-001,2026-09-19T01:00:00,129.69,292.81,66.45,80.09,84.73,1.86,64.35,24.56,64.49,69.22
TR-001,2026-09-19T02:00:00,134.04,287.87,67.06,81.28,85.51,1.68,64.78,23.86,68.16,68.12
TR-001,2026-09-19T03:00:00,129.88,309.22,69.22,82.66,84.9,1.72,68.74,24.39,68.62,71.17
TR-001,2026-09-19T04:00:00,132.98,304.78,68.6,82.52,84.69,1.6,67.63,26.77,64.43,69.82
TR-001,2026-09-19T05:00:00,132.75,331.95,70.64,84.85,84.6,1.81,73.55,24.56,63.07,71.31
TR-001,2026-09-19T06:00:00,130.5,324.64,69.22,84.28,84.44,1.89,71.32,26.15,61.14,69.02
TR-001,2026-09-19T07:00:00,130.28,330.52,69.48,84.52,84.65,1.72,73.09,25.91,61.68,68.96
TR-001,2026-09-19T08:00:00,132.14,355.39,73.68,88.76,84.49,1.83,78.43,27.93,63.28,69.17
TR-001,2026-09-19T09:00:00,133.94,361.02,74.91,89.42,84.83,1.81,80.18,28.54,60.81,71.21
TR-001,2026-09-19T10:00:00,129.75,367.55,74.41,89.48,84.95,1.89,82.61,29.66,56.96,73.48
TR-001,2026-09-19T11:00:00,131.76,365.51,74.77,90.62,84.94,1.95,80.99,28.8,60.63,70.61
TR-001,2026-09-19T12:00:00,130.57,366.4,75.17,89.88,84.69,1.92,81.78,30.53,55.95,70.61
TR-001,2026-09-19T13:00:00,129.71,394.68,76.18,92.39,85.04,1.93,86.97,30.11,57.85,72.5
TR-001,2026-09-19T14:00:00,130.01,374.92,77.27,93.39,84.92,2.04,83.64,32.5,54.35,71.91
TR-001,2026-09-19T15:00:00,130.48,380.51,75.39,91.52,84.54,1.97,84.21,30.51,57.18,73.98
TR-001,2026-09-19T16:00:00,134.51,385.37,76.91,91.8,85.07,2.0,84.93,31.01,54.59,71.72
TR-001,2026-09-19T17:00:00,130.99,369.06,75.48,91.0,84.51,1.74,82.37,28.52,60.52,71.37
TR-001,2026-09-19T18:00:00,130.5,365.05,74.24,89.91,84.86,1.88,81.3,28.86,56.72,71.71
TR-001,2026-09-19T19:00:00,132.62,340.05,72.33,87.07,84.49,1.72,75.18,27.98,62.06,72.21
TR-001,2026-09-19T20:00:00,130.86,343.51,72.6,86.71,84.42,1.84,75.94,27.96,57.61,73.21
TR-001,2026-09-19T21:00:00,130.08,325.02,69.71,84.65,84.17,1.74,72.77,26.82,63.49,74.25
TR-001,2026-09-19T22:00:00,133.62,339.21,71.4,85.5,84.88,1.94,76.33,27.75,61.33,74.79
TR-001,2026-09-19T23:00:00,131.57,328.84,69.85,84.99,84.55,1.91,73.93,24.56,68.18,73.1
TR-002,2026-09-15T00:00:00,130.64,403.94,79.52,94.19,87.84,1.76,77.51,22.74,66.4,45.04
TR-002,2026-09-15T01:00:00,132.05,385.17,78.76,93.87,88.29,1.69,73.29,22.88,66.06,44.04
TR-002,2026-09-15T02:00:00,133.37,411.42,80.84,95.92,88.19,1.93,78.82,23.03,67.65,47.2
TR-002,2026-09-15T03:00:00,132.71,417.97,82.11,96.76,87.48,1.83,80.14,25.76,62.68,44.85
TR-002,2026-09-15T04:00:00,132.04,402.14,79.88,95.4,87.46,1.95,77.7,25.19,66.85,46.46
TR-002,2026-09-15T05:00:00,131.8,431.78,84.07,99.45,88.16,1.92,82.93,26.88,61.11,46.15
TR-002,2026-09-15T06:00:00,129.69,420.93,82.93,98.63,87.82,1.75,81.71,27.86,59.2,46.25
TR-002,2026-09-15T07:00:00,132.12,441.92,83.82,99.38,87.63,1.93,85.64,26.95,63.81,47.34
TR-002,2026-09-15T08:00:00,129.86,440.04,84.39,100.23,88.17,2.01,84.28,27.35,60.48,47.33
TR-002,2026-09-15T09:00:00,131.21,454.53,85.27,101.21,88.17,1.84,86.51,29.26,57.87,48.42
TR-002,2026-09-15T10:00:00,132.9,489.54,88.62,105.08,87.85,1.94,93.51,30.05,56.6,46.95
TR-002,2026-09-15T11:00:00,130.49,472.84,86.46,101.99,87.25,2.06,90.07,29.96,55.17,48.83
TR-002,2026-09-15T12:00:00,134.03,499.41,90.03,106.16,87.52,1.88,96.93,30.18,59.22,49.08
TR-002,2026-09-15T13:00:00,130.23,510.8,90.7,107.13,87.55,1.93,98.35,31.07,57.39,48.05
TR-002,2026-09-15T14:00:00,130.99,511.49,91.15,107.74,88.03,2.17,97.77,31.91,54.41,47.63
TR-002,2026-09-15T15:00:00,132.14,498.3,90.24,106.21,87.3,2.03,94.93,32.28,56.32,48.97
TR-002,2026-09-15T16:00:00,133.83,477.08,87.91,103.74,87.93,1.82,91.07,30.02,57.09,50.79
TR-002,2026-09-15T17:00:00,131.74,468.58,85.68,101.82,87.23,2.11,90.4,28.58,58.88,47.36
TR-002,2026-09-15T18:00:00,133.79,492.64,87.92,104.08,87.79,2.04,94.45,30.21,55.02,50.32
TR-002,2026-09-15T19:00:00,129.39,458.38,86.48,102.56,87.66,1.94,88.96,27.93,58.27,48.9
TR-002,2026-09-15T20:00:00,129.61,447.23,85.12,100.25,87.81,1.93,86.16,28.88,56.28,50.06
TR-002,2026-09-15T21:00:00,130.12,436.4,83.47,98.9,87.53,1.74,84.06,27.68,63.83,48.52
TR-002,2026-09-15T22:00:00,132.04,445.38,83.66,99.24,87.48,2.06,84.71,26.83,60.78,48.56
TR-002,2026-09-15T23:00:00,131.18,445.27,84.41,100.45,87.14,1.73,85.18,26.38,63.21,52.0
TR-002,2026-09-16T00:00:00,133.47,374.83,78.32,93.31,86.84,1.87,72.15,23.25,67.37,50.17
TR-002,2026-09-16T01:00:00,130.41,373.62,78.84,94.17,87.29,1.69,72.73,24.63,67.07,50.01
TR-002,2026-09-16T02:00:00,133.48,403.33,79.05,93.76,87.61,1.9,76.86,23.5,69.62,51.05
TR-002,2026-09-16T03:00:00,131.98,433.71,83.11,99.1,87.42,1.73,83.41,25.94,64.2,53.04
TR-002,2026-09-16T04:00:00,131.06,420.17,82.0,97.51,87.09,1.93,81.61,25.82,62.88,50.17
TR-002,2026-09-16T05:00:00,131.22,451.35,84.63,101.07,86.71,1.95,85.84,25.32,63.7,53.45
TR-002,2026-09-16T06:00:00,134.39,443.32,84.94,99.93,86.67,2.0,85.94,26.99,61.21,52.03
TR-002,2026-09-16T07:00:00,132.55,452.42,85.05,101.27,87.14,1.92,86.66,28.68,58.87,53.35
TR-002,2026-09-16T08:00:00,129.96,448.26,84.49,100.31,86.8,1.81,85.75,28.0,60.18,54.99
TR-002,2026-09-16T09:00:00,134.2,455.74,85.9,101.71,87.41,1.89,87.66,27.53,58.73,53.98
TR-002,2026-09-16T10:00:00,131.05,486.03,87.61,104.67,87.33,2.04,93.76,28.03,63.02,54.05
TR-002,2026-09-16T11:00:00,132.05,490.06,87.66,104.67,86.48,2.0,94.97,29.1,58.06,54.96
TR-002,2026-09-16T12:00:00,132.59,488.09,89.67,106.54,86.95,2.07,94.66,30.09,59.31,52.3
TR-002,2026-09-16T13:00:00,132.75,517.68,90.81,108.38,87.17,2.07,99.65,31.87,52.79,56.12
TR-002,2026-09-16T14:00:00,134.17,499.75,89.09,105.28,86.68,2.07,96.96,30.87,55.27,56.26
TR-002,2026-09-16T15:00:00,133.83,512.46,90.96,107.27,86.63,2.03,99.03,31.74,54.91,53.42
TR-002,2026-09-16T16:00:00,130.17,510.04,90.47,107.82,86.86,2.12,97.78,31.33,52.68,53.18
TR-002,2026-09-16T17:00:00,132.41,489.06,88.47,105.13,86.77,2.01,93.76,30.8,55.04,57.08
TR-002,2026-09-16T18:00:00,133.61,474.32,85.94,101.41,86.68,1.94,90.86,28.73,57.63,55.93
TR-002,2026-09-16T19:00:00,133.15,459.32,87.11,102.43,86.58,1.94,87.88,29.75,56.79,55.62
TR-002,2026-09-16T20:00:00,130.67,442.6,84.28,100.19,86.43,2.03,85.89,27.37,59.4,55.31
TR-002,2026-09-16T21:00:00,131.01,453.73,84.82,100.63,86.46,1.74,86.75,27.33,64.18,56.27
TR-002,2026-09-16T22:00:00,130.5,457.32,84.5,101.05,86.77,1.91,88.23,25.32,64.74,57.89
TR-002,2026-09-16T23:00:00,134.02,430.34,82.76,98.01,86.66,1.76,82.32,26.79,62.63,55.04
TR-002,2026-09-17T00:00:00,133.4,386.65,79.69,93.81,87.04,1.76,74.78,24.13,68.07,56.36
TR-002,2026-09-17T01:00:00,133.35,412.42,80.81,95.27,86.17,1.79,79.89,23.36,67.3,57.08
TR-002,2026-09-17T02:00:00,132.08,408.3,80.16,96.04,86.74,1.76,78.85,24.34,65.01,58.81
TR-002,2026-09-17T03:00:00,133.1,413.37,81.44,96.91,86.95,1.87,79.88,25.61,65.87,58.65
TR-002,2026-09-17T04:00:00,129.5,430.05,83.72,99.61,86.52,1.95,82.75,26.73,62.91,56.68
TR-002,2026-09-17T05:00:00,132.63,439.74,83.21,98.01,86.86,1.74,83.91,24.94,62.2,57.5
TR-002,2026-09-17T06:00:00,133.01,424.0,83.94,99.89,86.62,1.71,81.71,27.49,59.09,57.33
TR-002,2026-09-17T07:00:00,132.86,440.85,83.21,99.5,86.19,1.84,84.73,26.77,63.98,59.63
TR-002,2026-09-17T08:00:00,133.02,463.38,84.94,101.03,86.04,2.09,88.9,27.08,60.67,58.16
TR-002,2026-09-17T09:00:00,133.08,450.73,86.11,102.42,86.06,1.78,87.03,28.21,61.24,58.77
TR-002,2026-09-17T10:00:00,133.68,497.71,88.37,104.57,86.47,1.92,94.84,30.25,56.78,58.53
TR-002,2026-09-17T11:00:00,130.43,481.18,88.77,104.51,86.35,1.99,92.46,31.3,54.0,60.43
TR-002,2026-09-17T12:00:00,132.73,486.92,89.17,105.04,86.47,1.8,94.5,30.41,57.19,61.72
TR-002,2026-09-17T13:00:00,134.3,498.46,88.7,106.0,85.99,2.03,95.13,31.27,58.04,58.61
TR-002,2026-09-17T14:00:00,132.19,512.3,91.98,108.29,86.52,1.89,98.09,33.31,55.05,62.49
TR-002,2026-09-17T15:00:00,131.98,498.63,90.71,107.87,85.62,2.0,95.05,32.72,51.06,62.68
TR-002,2026-09-17T16:00:00,134.58,481.59,89.02,105.91,86.05,1.85,92.53,30.65,54.2,59.65
TR-002,2026-09-17T17:00:00,130.72,476.82,88.67,105.09,86.31,1.84,92.3,30.71,58.57,62.84
TR-002,2026-09-17T18:00:00,132.08,482.69,87.57,103.42,85.84,1.88,93.62,29.84,56.3,60.44
TR-002,2026-09-17T19:00:00,134.4,473.35,86.25,102.72,86.18,1.79,91.41,29.34,56.2,60.98
TR-002,2026-09-17T20:00:00,132.01,456.3,85.01,100.23,86.38,1.84,86.99,28.61,60.27,60.88
TR-002,2026-09-17T21:00:00,130.17,435.07,83.51,99.08,85.9,1.89,83.19,27.65,62.01,61.12
TR-002,2026-09-17T22:00:00,133.35,432.63,82.43,98.18,85.48,1.89,82.48,25.41,61.76,62.69
TR-002,2026-09-17T23:00:00,132.38,427.68,82.75,97.6,85.58,1.9,82.92,25.48,61.83,62.79
TR-002,2026-09-18T00:00:00,131.75,401.68,78.66,93.55,86.15,1.9,77.22,22.54,68.07,64.27
TR-002,2026-09-18T01:00:00,132.41,402.82,79.19,95.03,86.24,1.68,78.34,22.87,70.8,61.38
TR-002,2026-09-18T02:00:00,133.42,404.46,81.01,95.84,86.27,1.78,77.27,25.43,66.57,65.13
TR-002,2026-09-18T03:00:00,132.96,410.49,81.24,96.07,85.43,1.85,78.63,24.78,65.5,64.66
TR-002,2026-09-18T04:00:00,129.38,406.18,81.4,96.58,85.75,1.95,79.03,24.73,63.89,63.38
TR-002,2026-09-18T05:00:00,134.31,423.87,82.43,97.6,85.96,1.99,81.08,24.84,62.33,63.07
TR-002,2026-09-18T06:00:00,129.54,423.79,81.97,97.67,85.56,1.76,81.31,27.28,59.88,65.95
TR-002,2026-09-18T07:00:00,132.02,427.31,84.18,99.32,85.73,1.93,82.58,28.28,59.0,63.96
TR-002,2026-09-18T08:00:00,132.85,438.69,83.3,99.66,85.98,2.03,84.9,27.4,62.16,64.71
TR-002,2026-09-18T09:00:00,134.49,468.98,87.01,102.76,85.49,1.81,89.34,29.18,57.99,66.27
TR-002,2026-09-18T10:00:00,133.84,470.12,87.87,104.7,85.6,2.11,90.79,29.96,57.9,64.04
TR-002,2026-09-18T11:00:00,130.43,472.43,88.4,103.9,85.73,1.83,90.57,31.27,54.21,66.44
TR-002,2026-09-18T12:00:00,133.97,491.25,89.8,106.45,85.46,2.11,95.07,31.45,54.32,67.83
TR-002,2026-09-18T13:00:00,134.31,483.02,88.78,105.03,85.19,1.99,92.0,30.19,55.44,67.91
TR-002,2026-09-18T14:00:00,133.45,507.99,90.33,106.76,85.43,2.01,97.92,32.1,51.94,68.43
TR-002,2026-09-18T15:00:00,133.79,501.42,89.18,105.89,85.11,1.86,95.63,30.95,54.64,68.49
TR-002,2026-09-18T16:00:00,131.56,489.9,88.53,105.6,85.36,2.03,94.88,30.16,58.37,66.03
TR-002,2026-09-18T17:00:00,134.46,496.46,88.14,105.18,85.0,2.06,95.2,29.97,57.47,68.92
TR-002,2026-09-18T18:00:00,132.75,470.56,87.33,104.26,85.47,2.04,91.34,27.93,60.08,68.87
TR-002,2026-09-18T19:00:00,133.09,448.69,85.25,101.29,85.44,1.95,87.23,28.68,59.38,67.7
TR-002,2026-09-18T20:00:00,132.27,430.88,83.62,99.93,84.76,1.99,83.8,28.09,61.41,69.22
TR-002,2026-09-18T21:00:00,129.93,460.84,84.69,100.78,85.53,1.85,89.4,26.28,62.46,67.74
TR-002,2026-09-18T22:00:00,132.34,440.4,83.52,99.61,85.33,2.0,83.75,25.84,65.3,66.87
TR-002,2026-09-18T23:00:00,132.28,421.49,81.32,96.69,85.08,1.96,81.91,24.53,66.1,70.18
TR-002,2026-09-19T00:00:00,132.15,367.28,77.98,93.04,85.1,1.61,71.51,21.8,67.25,70.7
TR-002,2026-09-19T01:00:00,132.34,409.09,80.83,96.73,85.18,1.93,79.57,24.62,66.85,68.84
TR-002,2026-09-19T02:00:00,130.22,385.43,79.4,94.75,84.89,1.89,74.62,25.0,62.84,71.45
TR-002,2026-09-19T03:00:00,132.0,428.13,81.2,97.07,84.87,1.95,81.42,23.33,70.23,69.34
TR-002,2026-09-19T04:00:00,129.52,431.62,83.41,98.69,85.44,1.85,83.44,26.81,63.36,70.64
TR-002,2026-09-19T05:00:00,132.63,416.69,81.17,95.78,85.18,1.89,79.56,26.64,63.98,69.52
TR-002,2026-09-19T06:00:00,129.39,421.1,82.01,96.74,84.63,1.84,81.35,26.25,63.45,70.13
TR-002,2026-09-19T07:00:00,131.23,424.1,83.02,98.25,84.7,1.83,82.34,27.63,58.56,72.35
TR-002,2026-09-19T08:00:00,134.52,473.87,85.91,101.52,84.68,1.94,90.99,27.01,59.36,70.74
TR-002,2026-09-19T09:00:00,131.92,457.22,85.22,101.41,84.94,1.82,88.74,27.92,58.26,70.47
TR-002,2026-09-19T10:00:00,131.11,493.07,88.37,104.62,85.14,2.1,94.59,30.25,59.97,70.04
TR-002,2026-09-19T11:00:00,134.36,471.2,88.12,105.08,84.58,2.01,91.19,29.44,58.29,72.05
TR-002,2026-09-19T12:00:00,131.35,482.55,87.13,103.53,84.85,1.97,92.19,30.35,58.07,72.2
TR-002,2026-09-19T13:00:00,131.8,519.48,90.37,107.63,85.05,2.12,99.5,31.15,55.23,72.25
TR-002,2026-09-19T14:00:00,130.64,514.15,91.64,107.83,85.19,2.0,98.57,32.65,52.93,72.53
TR-002,2026-09-19T15:00:00,133.01,516.48,90.84,108.4,84.71,2.07,99.24,32.21,51.69,73.83
TR-002,2026-09-19T16:00:00,131.23,498.12,89.62,106.5,84.54,2.07,95.51,29.3,61.34,72.72
TR-002,2026-09-19T17:00:00,130.73,461.4,86.73,102.83,84.56,1.89,88.71,30.06,59.04,73.6
TR-002,2026-09-19T18:00:00,131.18,468.45,86.44,103.37,84.2,2.1,91.0,28.15,58.13,72.75
TR-002,2026-09-19T19:00:00,130.45,462.73,85.97,102.3,84.37,1.86,89.02,28.6,61.46,72.21
TR-002,2026-09-19T20:00:00,132.78,472.58,86.95,102.69,84.19,1.82,90.54,26.99,62.37,75.83
TR-002,2026-09-19T21:00:00,131.5,433.54,83.86,98.66,84.6,1.77,83.98,27.75,61.43,73.81
